track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
1rgnBhdG2JDFTbYkYRZAku,0.593,0.17,98.083,0.0976,0.688,0.000161,0.826,6,209755,-6.401,0,0.541
696DnlkuDOXcMAnKlTgXXK,0.601,0.46,116.735,0.148,0.0522,0.0,0.621,6,163636,-5.616,0,0.457
7k4t7uLgtOxPwTpFmtJNTY,0.715,0.0574,101.085,0.298,0.295,0.000134,0.803,2,200960,-3.28,1,0.574
21jGcNKet2qwijlDFuPiPb,0.762,0.0863,120.042,0.0395,0.192,0.00244,0.695,0,215280,-3.497,1,0.553
2b8fOow8UzyDFAE27YhOZM,0.32,0.0822,91.019,0.0546,0.837,0.0,0.764,11,189486,-7.209,1,0.575
4TnjEaWOeW0eKTKIEvJyCa,0.431,0.0887,127.085,0.0364,0.123,0.0,0.785,10,159382,-8.756,0,0.236
6WrI0LAC5M1Rw2MnX2ZvEg,0.793,0.0952,123.941,0.0842,0.0125,0.0,0.794,11,183290,-4.521,0,0.677
6cy3ki60hLwimwIje7tALf,0.716,0.237,104.994,0.0657,0.0334,0.00084,0.721,10,221714,-7.037,0,0.667
6v3KW9xbzN5yKLt9YKDYA2,0.548,0.0828,116.967,0.029,0.0392,0.0,0.759,9,190800,-6.049,0,0.749
0sf12qNH5qcw8qpgymFOqD,0.796,0.0938,171.017,0.0629,0.00147,0.000209,0.513,1,201573,-4.075,1,0.345
0nbXyq5TXYPCO7pr3N8S4I,0.586,0.79,116.971,0.0559,0.104,0.0,0.896,10,196653,-6.687,0,0.642
2Fxmhks0bxGSBdJ92vM42m,0.425,0.1,135.128,0.375,0.328,0.13,0.701,7,194088,-10.965,1,0.562
3ZCTVFBt2Brf31RLEnCkWJ,0.225,0.106,120.006,0.0994,0.902,0.657,0.704,6,245426,-14.454,0,0.243
7qEHsqek33rTcFNT9PFqLf,0.405,0.105,109.891,0.0319,0.751,0.0,0.501,1,182161,-5.679,1,0.446
3jjujdWJ72nww5eGnfs2E7,0.771,0.102,99.048,0.0483,0.0237,7e-06,0.676,8,207133,-3.675,1,0.569
5DxXgozhkPLgrbKFY91w0c,0.672,0.101,91.976,0.188,0.0363,8.78e-06,0.886,1,192024,-4.394,1,0.526
3yOlyBJuViE2YSGn3nVE1K,0.491,0.0887,105.046,0.0296,0.018,1.29e-05,0.724,8,170746,-6.024,1,0.383
0RiRZpuVRbi7oqRdSMwhQY,0.522,0.0685,89.96,0.0575,0.533,0.0,0.755,2,157560,-4.368,1,0.925
7aiClxsDWFRQ0Kzk5KI5ku,0.559,0.399,129.989,0.0776,0.128,0.0,0.778,6,185093,-7.109,0,0.678
2ksOAxtIxY8yElEWw8RhgK,0.808,0.0822,105.027,0.0882,0.0846,0.000289,0.786,7,301714,-3.702,1,0.609
1HfMVBKM75vxSfsQ5VefZ5,0.34,0.21,101.993,0.0438,0.576,0.0,0.505,4,206459,-9.005,1,0.0916
6Ozh9Ok6h4Oi1wUSLtBseN,0.787,0.129,126.77,0.367,0.189,0.0,0.769,11,159715,-3.909,1,0.836
2tnVG71enUj33Ic2nFN6kZ,0.751,0.106,117.948,0.0874,0.177,6.43e-05,0.88,7,157606,-4.258,0,0.884
6UelLqGlWMcVH1E5c4H7lY,0.816,0.335,95.39,0.0465,0.122,0.0,0.548,0,174000,-4.209,1,0.557
3eekarcy7kvN4yt5ZFzltW,0.427,0.21,76.469,0.0317,0.0546,5.83e-06,0.598,7,175721,-8.764,0,0.0605
6Gg1gjgKi2AK4e0qzsR7sd,0.631,0.132,180.051,0.343,0.0687,0.0,0.474,5,189323,-5.884,0,0.425
0hVXuCcriWRGvwMV1r5Yn9,0.676,0.0894,101.956,0.0442,0.0902,0.0,0.798,6,219947,-5.041,1,0.843
6mAN61JH0dzyZpWslS11jy,0.703,0.0569,94.004,0.0701,0.143,0.0,0.879,1,199711,-4.219,1,0.788
70eFcWOvlMObDhURTqT4Fv,0.647,0.0801,92.979,0.186,0.124,0.0,0.64,5,197867,-8.114,0,0.546
285pBltuF7vW8TeWk8hdRR,0.566,0.34,83.903,0.2,0.349,0.0,0.511,6,239836,-7.23,0,0.218
57vxBYXtHMk6H1aD29V7PU,0.75,0.117,169.954,0.111,0.00632,7.6e-05,0.531,10,200080,-5.831,0,0.198
3VyjsVV24RmBIbWJAeUJNu,0.631,0.165,127.994,0.0896,0.519,0.000579,0.651,6,154424,-5.717,0,0.35
2YpeDb67231RjR0MgVLzsG,0.619,0.113,136.041,0.102,0.0533,0.0,0.878,6,157067,-5.56,1,0.639
2Ec33AVlkTTq8BHFgBTdQs,0.457,0.231,136.97,0.156,0.0327,0.0,0.881,7,198913,-8.191,0,0.296
0fea68AdmYNygeTGI4RC18,0.646,0.108,176.089,0.317,0.152,1.85e-05,0.754,7,242573,-5.795,1,0.429
7h0d2h0fUmzbs7zeFigJPn,0.491,0.0992,153.131,0.0346,0.0567,0.0,0.559,2,244874,-6.406,0,0.114
2TH65lNHgvLxCKXM3apjxI,0.624,0.243,176.169,0.309,0.6,2.12e-06,0.61,2,250534,-4.773,1,0.244
6ocbgoVGwYJhOv1GgI9NsF,0.317,0.0881,140.048,0.334,0.592,0.0,0.778,1,178627,-10.732,0,0.327
2gMXnyrvIjhVBUZwvLZDMP,0.575,0.0885,111.881,0.0573,0.604,0.0,0.459,3,215107,-4.858,1,0.183
6RyaV7owmVU6fzEPE17sF1,0.901,0.12,93.979,0.0357,0.0478,0.0,0.658,7,210520,-2.814,1,0.708
51Fjme0JiitpyXKuyQiCDo,0.39,0.137,129.972,0.0846,0.178,0.0,0.843,2,160627,-7.899,1,0.495
5stPVcRqb4qixbafP9e8lt,0.672,0.0781,181.857,0.311,0.471,0.0,0.654,0,249520,-5.98,0,0.343
2pWOMNQJW3g2zmGjP0Vkb0,0.665,0.103,104.957,0.0758,0.0549,0.0,0.817,9,215460,-6.224,0,0.662
6b2RcmUt1g9N9mQ3CbjX2Y,0.682,0.0763,110.567,0.0925,0.153,0.0,0.477,1,202205,-4.931,0,0.345
4R8BJggjosTswLxtkw8V7P,0.786,0.0935,91.973,0.0741,0.145,0.0,0.806,10,309120,-3.831,0,0.58
7CHi4DtfK4heMlQaudCuHK,0.526,0.14,123.935,0.0415,0.129,0.0,0.598,10,168387,-8.659,0,0.529
2wrJq5XKLnmhRXHIAf9xBa,0.63,0.111,89.991,0.0259,0.153,0.0,0.654,10,167693,-4.644,1,0.43
7sQKy5vlPQllr0k9IjYJv3,0.668,0.0734,87.972,0.113,0.11,0.000529,0.883,9,226533,-2.957,1,0.676
07Oz5StQ7GRoygNLaXs2pd,0.892,0.735,95.927,0.0645,0.298,0.0,0.668,5,159011,-3.001,0,0.478
6LcauUZjF1eXQrgqMUecHX,0.629,0.0692,96.493,0.226,0.133,0.0,0.816,2,131607,-5.568,1,0.714
3QzAOrNlsabgbMwlZt7TAY,0.545,0.151,97.008,0.0735,0.392,0.0,0.809,7,180435,-6.678,1,0.244
2dpaYNEQHiRxtZbfNsse99,0.792,0.167,100.015,0.0452,0.191,0.0,0.687,5,214290,-2.749,1,0.671
1iSqfoUFnQwV0QW1EfUit8,0.369,0.126,140.004,0.0688,0.334,0.0,0.735,9,222997,-9.682,0,0.235
4vUmTMuQqjdnvlZmAH61Qk,0.621,0.0865,97.989,0.0825,0.148,0.0,0.857,9,204467,-6.376,0,0.668
3jbT1Y5MoPwEIpZndDDwVq,0.836,0.179,80.002,0.0735,0.017,1.64e-05,0.734,10,270741,-4.803,0,0.623
6gi6y1xwmVszDWkUqab1qw,0.591,0.196,139.864,0.225,0.0104,0.0,0.802,8,157712,-4.895,1,0.309
1lOe9qE0vR9zwWQAOk6CoO,0.642,0.0658,179.974,0.287,0.0204,0.0,0.745,7,131240,-6.257,0,0.226
6vBdBCoOhKHiYDDOcorfNo,0.653,0.111,150.231,0.0745,0.447,0.0,0.58,5,174960,-3.818,1,0.175
2qG5sZ7Si6sdK74qLxedYM,0.689,0.0501,97.963,0.124,0.39,0.00325,0.882,6,161627,-4.027,1,0.746
7qiZfU4dY1lWllzX7mPBI3,0.652,0.0931,95.977,0.0802,0.581,0.0,0.825,1,233713,-3.183,0,0.931
4HBvwhhYo7YiYXkUDrOHzS,0.459,0.137,126.803,0.0334,0.56,0.0,0.619,7,184280,-5.782,0,0.498
2VxeLyX666F8uXCJ0dZF8B,0.385,0.231,95.799,0.0308,0.371,0.0,0.572,7,215733,-6.362,1,0.323
5qmq61DAAOUaW8AUo8xKhh,0.624,0.123,158.087,0.114,0.11,0.0,0.715,4,173325,-3.046,0,0.412
0e7ipj03S05BNilyu5bRzt,0.52,0.131,159.801,0.0712,0.124,7.01e-05,0.585,5,218147,-6.136,0,0.129
7fa9MBXhVfQ8P8Df9OEbD8,0.541,0.13,124.959,0.0505,0.568,0.0,0.851,0,235545,-6.825,1,0.448
7xQAfvXzm3AkraOtGPWIZg,0.539,0.103,99.96,0.208,0.136,1.78e-06,0.829,11,149547,-7.359,0,0.388
4u7EnebtmKWzUH433cf5Qv,0.404,0.3,71.105,0.0499,0.271,0.0,0.414,0,354320,-9.928,0,0.224
1vG3YuKRYqPwTmNmYgqkpg,0.684,0.923,108.138,0.0527,0.627,0.0,0.668,1,187986,-5.937,1,0.7
43zdsphuZLzwA9k4DJhU0I,0.111,0.0897,82.642,0.0972,0.978,3.97e-05,0.367,4,196077,-14.084,1,0.198
3e9HZxeyfWwjeyPAMmWSSQ,0.653,0.101,106.966,0.0658,0.229,0.0,0.717,1,207320,-5.634,1,0.412
1DFD5Fotzgn6yYXkYsKiGs,0.744,0.074,124.08,0.0295,0.0404,0.00016,0.677,10,152913,-6.806,0,0.631
0u2P5u6lvoDfwTYjAADbn4,0.296,0.095,115.284,0.0333,0.934,0.0,0.351,4,200186,-10.109,0,0.12
1ZMiCix7XSAbfAJlEZWMCp,0.267,0.089,110.011,0.0299,0.839,1.46e-06,0.567,4,240133,-6.502,1,0.0592
3CYH422oy1cZNoo0GTG1TK,0.666,0.0854,139.987,0.0446,0.193,0.0,0.664,8,210560,-2.203,1,0.405
5w9c2J52mkdntKOmRLeM2m,0.86,0.0574,93.989,0.0593,0.11,1.94e-06,0.737,8,193227,-2.652,0,0.656
22vgEDb5hykfaTwLuskFGD,0.734,0.106,137.958,0.0588,0.0427,0.0,0.842,1,181027,-5.065,0,0.952
6Hj9jySrnFppAI0sEMCZpJ,0.692,0.153,159.966,0.0457,0.328,0.0,0.685,2,240051,-5.122,1,0.578
2W4yABdLc4Jnds67Poi5Nl,0.438,0.0743,129.039,0.0719,0.177,0.0,0.866,7,223258,-8.943,1,0.695
1nocRtwyNPVtGcIJqfgdzZ,0.832,0.0665,146.013,0.0503,0.273,0.0,0.731,9,178613,-2.592,1,0.94
37zdqI4r1gswIzczSBkRon,0.726,0.101,92.025,0.0422,0.223,0.0,0.729,5,217130,-3.208,1,0.876
0fySG6A6qLE8IvDpayb5bM,0.652,0.107,154.187,0.307,0.113,0.0,0.768,1,144935,-2.708,0,0.777
4jAIqgrPjKLTY9Gbez25Qb,0.621,0.141,101.987,0.032,0.0392,0.0045,0.575,10,172213,-8.165,0,0.27
4t9a07PAghtQMRAIP9FQ7Z,0.783,0.437,92.01,0.0432,0.361,0.0,0.795,5,266087,-4.271,1,0.799
5DqdesEfbRyOlSS3Tf6c29,0.463,0.194,95.971,0.0287,0.374,0.0,0.732,11,212607,-6.972,0,0.397
