artist,genres,popularity,followers,artist_id
Post Malone,"['dfw rap', 'melodic rap', 'rap']",91,34943833,246dkjvS1zLTtiykXe5h60
Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",84,24323301,4nDoRrQiYLoBzwC5BhVJzF
Dua Lipa,"['dance pop', 'pop', 'uk pop']",92,29976031,6M2wZ9GZgrQXHCFfjv46we
Selena Gomez,"['dance pop', 'pop', 'post-teen pop']",85,31365387,0C8ZW7ezQVs4URX5aX7Kqx
Ed Sheeran,"['pop', 'uk pop']",96,88365539,6eUKZXaKkcviH0Ku9w2n3V
Eminem,"['detroit hip hop', 'hip hop', 'rap']",92,49643480,7dGJo4pcD2V6oG8kP0tJRR
Luis Fonsi,"['latin', 'latin pop', 'puerto rican pop']",78,9830679,4V8Sr092TqfHkfAA5fXXqG
Maroon 5,"['pop', 'pop rock']",88,33973842,04gDigrS5kc9YWfZHwBETP
Lil Pump,"['emo rap', 'miami hip hop', 'rap', 'social media pop', 'trap', 'vapor trap']",70,7838292,3wyVrVrFCkukjdVIdirGVY
G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",81,4959412,02kJSzxNuaWGqwubyUba0Z
NF,"['hip hop', 'pop rap', 'rap']",83,6284472,6fOMl44jA4Sp5b9PpYCkzz
Maluma,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",88,28377680,1r4hJ1h58CWwUQe3MxPuau
Marshmello,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",86,32573644,64KEffDW9EtZ1y2vBYgq8T
Natti Natasha,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",80,6891356,1GDbiv3spRmZ1XdM1jQbT7
Sam Smith,"['dance pop', 'pop', 'uk pop']",86,18101179,2wY79sveU1sp5g7SokKOiI
Khalid,"['pop', 'pop r&b']",88,14576004,6LuN9FCkKOj5PcnpouEgny
J Balvin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",93,30957580,1vyhD5VmyZ7KMfW5gqLgo5
Portugal. The Man,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",68,1274836,4kI8Ie27vjvonwaB2ePh8T
Danny Ocean,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']",78,3445531,5H1nN1SzW0qNeUEZvuXjAj
Bad Bunny,"['latin', 'reggaeton', 'trap latino']",97,40003664,4q3ewBCX7sLwd24euuV69X
Hailee Steinfeld,"['dance pop', 'pop', 'post-teen pop']",74,7193153,5p7f24Rk5HkUZsaS3BLG5F
Anitta,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",81,10928593,7FNnA9vBm6EKceENgCGRMb
Imagine Dragons,"['modern rock', 'pop', 'rock']",89,36801320,53XhwfbYqKCa1cC15pYq2q
ZAYN,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",80,17971588,5ZsFI1h6hIdQRw2ti0hz81
Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",89,12380699,4O15NlyKLIASxsJ0PrXPfz
Becky G,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",82,10717794,4obzFoKoKRHIphyHzJ35G3
Ozuna,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",89,30330376,1i8SpTcr7yvPOmcqrbnVXY
Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",85,18521911,4kYSro6naA4h99UJvo89HB
Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",80,5553989,4xRYI6VqpkE3UwrDrAZL8L
French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,4201000,6vXTefBL93Dj5IqAWq6OTv
Bebe Rexha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",81,6836273,64M6ah0SkkRsnPGtGiRAbb
Charlie Puth,"['dance pop', 'pop', 'viral pop']",81,14519959,6VuMaDnrHyPL1p4EHjYLi7
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",88,18737988,2YZyLoL8N0Wb9xBt1NhZWg
Big Shaq,['london rap'],50,322653,7mnAzEmgquhrVtGob81SmO
Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",83,7788475,23fqKkggKUBHNkbKtXEls4
Piso 21,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",77,7568477,4bw2Am3p9ji3mYsXNXtQcd
