artist,genres,popularity,followers,artist_id
Bad Bunny,"['latin', 'reggaeton', 'trap latino']",97,40331783,4q3ewBCX7sLwd24euuV69X
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,39162506,1Xyo4u8uXC1ZmMpatF05PJ
KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",87,20081766,790FomKkXshlbRYZFtlgla
24kGoldn,"['cali rap', 'pop rap']",81,1462150,6fWVd57NKTalqvmjRd2t8Z
Ariana Grande,"['dance pop', 'pop']",93,72526907,66CXWjxzNUsdJxJ2JdwvnR
Internet Money,"['rap', 'trap']",78,521177,6MPCFvOQv5cIGfw3jODMF0
BTS,"['k-pop', 'k-pop boy group']",95,42241569,3Nrfpe0tUJi4K4DXYWgMUX
Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",88,28492331,1r4hJ1h58CWwUQe3MxPuau
Dua Lipa,"['dance pop', 'pop', 'uk pop']",92,30206009,6M2wZ9GZgrQXHCFfjv46we
Harry Styles,['pop'],87,17886878,6KImCVD70vtIoJWnq6nGn3
SAINt JHN,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",75,785205,0H39MdGGX6dbnnQPt6NQkZ
CJ,['nyc rap'],71,196314,7arQA31aZVS8yS6zUveWzb
Justin Bieber,"['canadian pop', 'pop']",96,53660812,1uNFoZAHBGtllmzznpCI3s
Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",85,18594070,4kYSro6naA4h99UJvo89HB
Tones And I,"['australian pop', 'pop']",77,2886914,2NjfBq1NflQcKSeiDooVjY
Billie Eilish,"['art pop', 'electropop', 'pop']",92,53220445,6qqNVTkY8uBg9cP3Jd7DAH
The Kid LAROI,['australian hip hop'],90,2962260,2tIP7SsRs7vjIcLrU85W8J
Pop Smoke,['brooklyn drill'],88,8361909,0eDvMgVFoNV3TpwtrVCoTj
Lil Nas X,"['lgbtq+ hip hop', 'pop']",91,7950859,7jVv8c5Fj3E9VhNjxT4snq
DaBaby,"['north carolina hip hop', 'rap']",89,8557260,4r63FhuTkUYltbVAg5TQnk
Joel Corry,"['dance pop', 'pop', 'pop dance', 'tropical house', 'uk dance']",81,232922,6DgP9otnZw5z6daOntINxp
Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']",87,35506491,7n2wHs1TKAczGzO7Dd2rGr
Rauw Alejandro,"['puerto rican pop', 'trap latino']",92,8034372,1mcTU81TzQhprhouKaTkpq
Ed Sheeran,"['pop', 'uk pop']",96,88765426,6eUKZXaKkcviH0Ku9w2n3V
Boza,"['latin', 'reggaeton', 'trap latino']",74,355084,2NfSBtmWe7oPw1EmetJVso
Os Barões Da Pisadinha,"['forro', 'piseiro']",80,5197716,5Lv2GUVwqmQBPwrTrxucE5
Camilo,"['colombian pop', 'reggaeton colombiano']",85,12566026,28gNT5KBp7IjEOQoevXf9N
Manuel Turizo,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",83,8552006,0tmwSHipWxN12fsoLcFU3B
Sebastian Yatra,"['colombian pop', 'latin', 'reggaeton colombiano']",84,17285093,07YUOmWljBTXwIseAUd9TW
Taylor Swift,['pop'],100,46250361,06HL4z0CvFAxyc27GXpf02
Farruko,"['latin', 'reggaeton', 'trap latino']",90,11497758,329e4yvIujISKGKz1BZZbO
Sech,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",88,9625625,77ziqFxp5gaInVrF2lj4ht
Tate McRae,"['alt z', 'dance pop', 'pop', 'post-teen pop']",82,2058966,45dkTj5sMRSjrmBSBeiHym
Sia,"['australian dance', 'australian pop', 'pop']",88,21611189,5WUlDfRSoLAfcVSX1WnrxN
Jawsh 685,['nz pop'],70,103165,56mfhUDKa1vec6rSLZV5Eg
Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",85,16727815,5YGY8feqx7naU7z4HrwZM6
Lewis Capaldi,"['pop', 'uk pop']",82,8922600,4GNC7GD6oZMSxPGyXy4MNB
Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",85,6044911,2o5jDhtHVPhrJdv3cEQ99Z
