artist,genres,popularity,followers,artist_id
Ariana Grande,"['dance pop', 'pop']",93,72091927,66CXWjxzNUsdJxJ2JdwvnR
Post Malone,"['dfw rap', 'melodic rap', 'rap']",91,34933440,246dkjvS1zLTtiykXe5h60
DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",82,7611219,540vIaP2JwjQb9dm3aArA4
Bad Bunny,"['latin', 'reggaeton', 'trap latino']",96,39969523,4q3ewBCX7sLwd24euuV69X
Travis Scott,"['rap', 'slap house']",92,18998139,0Y5tJX1MQlPlqiwlOH1tJY
Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",86,16465777,26VFTg2z8YR0cCuwLzESi2
Ava Max,"['dance pop', 'pop']",83,4496821,4npEfmQ6YuiwW1GpUmaq3F
Pedro Capó,"['latin', 'latin pop', 'puerto rican pop']",73,1401971,4QVBYiagIaa6ZGSPMbybpy
Marshmello,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",86,32564924,64KEffDW9EtZ1y2vBYgq8T
Paulo Londra,"['argentine hip hop', 'trap argentino', 'trap latino']",79,14093740,3vQ0GE3mI0dAaxIMYe5g7z
Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",81,7494075,46SHBwWsqBkxI7EeeBEQG7
Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",81,5595956,20sxb77xiYeusSH8cVdatc
Sheck Wes,"['rap', 'trap', 'underground hip hop', 'vapor trap']",66,1194326,2RDOrhPqAM4jzTRCEb19qX
Panic! At The Disco,['modern rock'],80,11025369,20JZFwl6HVl6yg8a4H3ZqK
benny blanco,"['electropop', 'pop', 'pop rap']",76,844144,5CiGnKThu5ctn9pBxv7DGa
Maroon 5,"['pop', 'pop rock']",88,33958635,04gDigrS5kc9YWfZHwBETP
Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",91,8775033,5f7VJjfbwm532GiveGC0ZK
Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",85,18514175,4kYSro6naA4h99UJvo89HB
Juice WRLD,"['chicago rap', 'melodic rap']",93,20736023,4MCBfE4596Uoi2O4DtmEMz
Queen,"['classic rock', 'glam rock', 'rock']",87,38026643,1dfeR4HaWDbWqFHLkxsg1d
Lady Gaga,"['art pop', 'dance pop', 'pop']",86,19965305,1HY2Jd0NmPuamShAr6KMms
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,58890362,3TVXtAsR1Inumwj472S9r4
XXXTENTACION,"['emo rap', 'miami hip hop']",90,32421716,15UsOTVnJzReFVN1VCnxy4
Dynoro,"['edm', 'electro house', 'pop dance', 'tropical house']",71,232971,3v6Ji4uoWtKRkhuDUaxi9n
Anuel AA,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",89,19501028,2R21vXR83lH98kGeO99Y66
Khalid,"['pop', 'pop r&b']",88,14573028,6LuN9FCkKOj5PcnpouEgny
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",85,22301478,7CajNmpbOovFoOoasH2HaY
Billie Eilish,"['art pop', 'electropop', 'pop']",92,52716939,6qqNVTkY8uBg9cP3Jd7DAH
Mark Ronson,"['dance pop', 'pop']",77,936309,3hv9jJF3adDNsBSIQDqcjp
